1.51476E+12,13715.65,13818.55,12750,13380,8609.915844,1.51485E+12,114799747.4,105595,3961.938946,52809747.44,0
1.51485E+12,13382.16,15473.49,12890.02,14675.11,20078.09211,1.51494E+12,279717107.4,177728,11346.32674,158080088.7,0
1.51494E+12,14690,15307.56,14150,14919.51,15905.66764,1.51502E+12,236116868.3,162787,8994.953566,133587333.2,0
1.51502E+12,14919.51,15280,13918.04,15059.54,21329.64957,1.51511E+12,312781583.8,170310,12680.81295,186116793,0
1.51511E+12,15059.56,17176.24,14600,16960.39,23251.49113,1.5152E+12,369321956.5,192969,13346.62229,211829900.7,0
1.5152E+12,16960.39,17143.13,16011.21,17069.79,18571.45751,1.51528E+12,309216921,158242,11007.16406,183417769.1,0
1.51528E+12,17069.79,17099.96,15610,16150.03,12493.12556,1.51537E+12,206194706.4,120269,6779.320508,112151163.1,0
1.51537E+12,16218.85,16322.3,12812,14902.54,26600.60991,1.51546E+12,396569997.2,208642,13756.84439,206049582.1,0
1.51546E+12,14902.54,15500,14011.05,14400,14315.00425,1.51554E+12,210630187.5,156656,6841.233287,100698572.9,0
1.51554E+12,14401,14955.66,13131.31,14907.09,17411.00166,1.51563E+12,244011366.8,161476,8529.554675,119570139.8,0
1.51563E+12,14940,14968.68,11400,13238.78,33554.72375,1.51572E+12,446587594.7,239416,16422.01998,218762237.4,0
1.51572E+12,13238.76,14109.78,12500,13740.01,16417.16214,1.5158E+12,222516076.3,134452,8117.312075,110040020.2,0
1.5158E+12,13749.95,14580,13706.15,14210,12221.50853,1.51589E+12,173086488.5,123639,5574.178408,78958098.95,0
1.51589E+12,14210,14339.5,12569.2,13474.99,17017.89433,1.51597E+12,226525305.1,152364,8288.382911,110381556.7,0
1.51597E+12,13477.98,14249.99,13147.79,13539.93,14652.09471,1.51606E+12,200614554.5,145362,7431.063272,101748315.6,0
1.51606E+12,13500,13542.93,9035,10900,63401.16918,1.51615E+12,722150828.1,418243,30353.40172,346777069.9,0
1.51615E+12,10899.99,11680.99,9037.94,10988.79,72331.79665,1.51623E+12,744154180.1,517293,35412.79814,365047291.4,0
1.51623E+12,10972.59,11878.82,10435.33,10961.97,48464.43494,1.51632E+12,541289614.1,393112,23814.38285,266091805.7,0
1.51632E+12,10960,11795,10360,11474.98,34129.37542,1.51641E+12,382773499.2,273271,16871.41636,189259676.9,0
1.51641E+12,11474.98,13099,11412.45,12799.94,28768.85783,1.51649E+12,358561107.8,251647,14389.19601,179183657.9,0
1.51649E+12,12799.8,12799.8,10965,11530,41379.77343,1.51658E+12,485289230.8,360207,20574.76006,241154450,0
1.51658E+12,11530,11926.35,9900.24,10760.05,43752.60679,1.51667E+12,475716514.2,363264,21300.57583,231677479.1,0
1.51667E+12,10760.05,11399,9905,10799.18,37473.92255,1.51675E+12,399419413.2,355286,18747.79383,199899519.3,0
1.51675E+12,10799.14,11570.48,10500,11349.99,27158.58776,1.51684E+12,299470607.4,293429,13087.39309,144335221.6,0
1.51684E+12,11349.96,11794.05,10950.21,11175.27,20839.95418,1.51692E+12,236081365,221040,10201.38692,115584688.2,0
1.51692E+12,11184.7,11643,10311.15,11089,33056.87196,1.51701E+12,360482470.2,314720,15330.78955,167328952.4,0
1.51701E+12,11089,11650,10842.69,11491,18860.76835,1.5171E+12,212663199.5,207478,9208.937963,103935891.8,0
1.5171E+12,11499.98,12244,11408,11879.95,16887.33952,1.51718E+12,200211582.9,206247,7342.786997,87011013.83,0
1.51718E+12,11879.95,11975.02,11139.55,11251,14170.37754,1.51727E+12,162110154.9,169199,6016.496871,68819972.52,0
1.51727E+12,11250.11,11308.42,9900,10237.51,25554.37295,1.51736E+12,268978329.5,259212,11388.09642,119864289.1,0
1.51736E+12,10230,10425.85,9700,10285.1,18015.95681,1.51744E+12,181644207.1,201422,8782.584442,88609272.64,0
1.51744E+12,10285.1,10335,8750.99,9224.52,33564.76431,1.51753E+12,317636346,316020,15430.00385,146130725.9,0
1.51753E+12,9224.52,9250,8010.02,8873.03,49971.62698,1.51762E+12,434236483.7,453411,23113.50358,201292749.5,0
1.51762E+12,8873.03,9473.01,8229,9199.96,28725.00074,1.5177E+12,256834729.1,327519,14182.83815,127068644.5,0
1.5177E+12,9199.96,9368,7930,8184.81,32014.30845,1.51779E+12,274912288.4,356134,13805.29579,118884553.2,0
1.51779E+12,8179.99,8382.8,6625,6939.99,63403.18258,1.51788E+12,471166218.7,533510,29857.35839,222022401,0
1.51788E+12,6939.63,7878,6000.01,7652.14,100201.5003,1.51796E+12,684364276.4,785996,49565.02079,339117633.4,0
1.51796E+12,7655.02,8476,7150.01,7599,60778.4605,1.51805E+12,477935038.8,514893,30084.83627,237137973.5,0
1.51805E+12,7599,7844,7572.09,7784.02,1521.537318,1.51813E+12,11770168.04,12417,844.258813,6532638.638,0
